pos,rank,player,team
qb,1,Josh Allen,BUF
qb,2,Joe Burrow,CIN
qb,3,Lamar Jackson,BAL
qb,4,Justin Herbert,LAC
qb,5,Jared Goff,DET
qb,6,Jalen Hurts,PHI
qb,7,Trevor Lawrence,JAX
qb,8,Tyler Shough,NO
qb,9,Jaxson Dart,NYG
qb,10,Malik Willis,MIA
qb,11,Brock Purdy,SF
qb,12,Baker Mayfield,TB
rb,1,Jahmyr Gibbs,DET
rb,2,Jonathan Taylor,IND
rb,3,Derrick Henry,BAL
rb,4,Bijan Robinson,ATL
rb,5,Christian McCaffrey,SF
rb,6,De'Von Achane,MIA
rb,7,Saquon Barkley,PHI
rb,8,Javonte Williams,DAL
rb,9,Omarion Hampton,LAC
rb,10,Chase Brown,CIN
rb,11,James Cook,BUF
rb,12,Ashton Jeanty,LV
wr,1,Ja'Marr Chase,CIN
wr,2,Puka Nacua,LA
wr,3,Amon-Ra St. Brown,DET
wr,4,Jaxon Smith-Njigba,SEA
wr,5,Chris Olave,NO
wr,6,Justin Jefferson,MIN
wr,7,Drake London,ATL
wr,8,Rashee Rice,KC
wr,9,Ladd McConkey,LAC
wr,10,Tee Higgins,CIN
wr,11,CeeDee Lamb,DAL
wr,12,Zay Flowers,BAL
wr,13,Nico Collins,HOU
wr,14,DeVonta Smith,PHI
wr,15,Garrett Wilson,NYJ
wr,16,George Pickens,DAL
wr,17,Malik Nabers,NYG
wr,18,Tetairoa McMillan,CAR
wr,19,A.J. Brown,NE
wr,20,Jaylen Waddle,DEN
wr,21,Davante Adams,LA
wr,22,Christian Watson,GB
wr,23,Mike Evans,SF
wr,24,Emeka Egbuka,TB
te,1,Brock Bowers,LV
te,2,Trey McBride,ARI
te,3,Sam LaPorta,DET
te,4,Travis Kelce,KC
te,5,Tyler Warren,IND
te,6,Juwan Johnson,NO
te,7,Colston Loveland,CHI
te,8,Kyle Pitts,ATL
te,9,Tucker Kraft,GB
te,10,Harold Fannin,CLE
te,11,George Kittle,SF
te,12,Mark Andrews,BAL
